classifier,class,parameter,row,column,value
LOO classifier 1 (database sample 1 left out),2,mean_5,,,94.54929577464789
LOO classifier 1 (database sample 1 left out),2,mean_6,,,2.2588732394366198
LOO classifier 1 (database sample 1 left out),2,covariance,1,1,0.2853293790914501
LOO classifier 1 (database sample 1 left out),2,covariance,1,2,-0.011506466970839154
LOO classifier 1 (database sample 1 left out),2,covariance,1,3,-0.03594885935330293
LOO classifier 1 (database sample 1 left out),2,covariance,1,4,-0.09999404879984107
LOO classifier 1 (database sample 1 left out),2,covariance,1,5,-0.26578258282086603
LOO classifier 1 (database sample 1 left out),2,covariance,1,6,-0.013398611386629686
LOO classifier 1 (database sample 1 left out),2,covariance,2,1,-0.011506466970839154
LOO classifier 1 (database sample 1 left out),2,covariance,2,2,1.016853402102757
LOO classifier 1 (database sample 1 left out),2,covariance,2,3,0.046971692124578426
LOO classifier 1 (database sample 1 left out),2,covariance,2,4,0.7979968260265818
LOO classifier 1 (database sample 1 left out),2,covariance,2,5,-1.2880896647490576
LOO classifier 1 (database sample 1 left out),2,covariance,2,6,0.021536818091648494
LOO classifier 1 (database sample 1 left out),2,covariance,3,1,-0.03594885935330293
LOO classifier 1 (database sample 1 left out),2,covariance,3,2,0.046971692124578426
LOO classifier 1 (database sample 1 left out),2,covariance,3,3,0.09811791311247768
LOO classifier 1 (database sample 1 left out),2,covariance,3,4,0.7243671890497916
LOO classifier 1 (database sample 1 left out),2,covariance,3,5,0.6728625272763344
LOO classifier 1 (database sample 1 left out),2,covariance,3,6,0.019022297163261283
LOO classifier 1 (database sample 1 left out),2,covariance,4,1,-0.09999404879984107
LOO classifier 1 (database sample 1 left out),2,covariance,4,2,0.7979968260265818
LOO classifier 1 (database sample 1 left out),2,covariance,4,3,0.7243671890497916
LOO classifier 1 (database sample 1 left out),2,covariance,4,4,11.062920055544547
LOO classifier 1 (database sample 1 left out),2,covariance,4,5,0.1805197381471915
LOO classifier 1 (database sample 1 left out),2,covariance,4,6,0.23043721483832583
LOO classifier 1 (database sample 1 left out),2,covariance,5,1,-0.26578258282086603
LOO classifier 1 (database sample 1 left out),2,covariance,5,2,-1.2880896647490576
LOO classifier 1 (database sample 1 left out),2,covariance,5,3,0.6728625272763344
LOO classifier 1 (database sample 1 left out),2,covariance,5,4,0.1805197381471915
LOO classifier 1 (database sample 1 left out),2,covariance,5,5,276.7264431660386
LOO classifier 1 (database sample 1 left out),2,covariance,5,6,0.6313231501686173
LOO classifier 1 (database sample 1 left out),2,covariance,6,1,-0.013398611386629686
LOO classifier 1 (database sample 1 left out),2,covariance,6,2,0.021536818091648494
LOO classifier 1 (database sample 1 left out),2,covariance,6,3,0.019022297163261283
LOO classifier 1 (database sample 1 left out),2,covariance,6,4,0.23043721483832583
LOO classifier 1 (database sample 1 left out),2,covariance,6,5,0.6313231501686173
LOO classifier 1 (database sample 1 left out),2,covariance,6,6,0.29322971632612577
LOO classifier 1 (database sample 1 left out),3,mean_1,,,13.153749999999997
LOO classifier 1 (database sample 1 left out),3,mean_2,,,3.3337500000000007
LOO classifier 1 (database sample 1 left out),3,mean_3,,,2.4370833333333333
LOO classifier 1 (database sample 1 left out),3,mean_4,,,21.416666666666668
LOO classifier 1 (database sample 1 left out),3,mean_5,,,99.3125
LOO classifier 1 (database sample 1 left out),3,mean_6,,,1.6787500000000002
LOO classifier 1 (database sample 1 left out),3,covariance,1,1,0.2752984375000002
LOO classifier 1 (database sample 1 left out),3,covariance,1,2,0.06239427083333343
LOO classifier 1 (database sample 1 left out),3,covariance,1,3,0.02350052083333333
LOO classifier 1 (database sample 1 left out),3,covariance,1,4,0.24614583333333329
LOO classifier 1 (database sample 1 left out),3,covariance,1,5,-0.47575520833333407
LOO classifier 1 (database sample 1 left out),3,covariance,1,6,0.03898802083333332
LOO classifier 1 (database sample 1 left out),3,covariance,2,1,0.06239427083333343
LOO classifier 1 (database sample 1 left out),3,covariance,2,2,1.1588817708333334
LOO classifier 1 (database sample 1 left out),3,covariance,2,3,0.0035526041666666505
LOO classifier 1 (database sample 1 left out),3,covariance,2,4,0.2045833333333333
LOO classifier 1 (database sample 1 left out),3,covariance,2,5,-2.029921875
LOO classifier 1 (database sample 1 left out),3,covariance,2,6,-0.0611140625
LOO classifier 1 (database sample 1 left out),3,covariance,3,1,0.02350052083333333
LOO classifier 1 (database sample 1 left out),3,covariance,3,2,0.0035526041666666505
LOO classifier 1 (database sample 1 left out),3,covariance,3,3,0.033399826388888894
LOO classifier 1 (database sample 1 left out),3,covariance,3,4,0.3097569444444444
LOO classifier 1 (database sample 1 left out),3,covariance,3,5,0.41611979166666674
LOO classifier 1 (database sample 1 left out),3,covariance,3,6,0.030369270833333347
LOO classifier 1 (database sample 1 left out),3,covariance,4,1,0.24614583333333329
LOO classifier 1 (database sample 1 left out),3,covariance,4,2,0.2045833333333333
LOO classifier 1 (database sample 1 left out),3,covariance,4,3,0.3097569444444444
LOO classifier 1 (database sample 1 left out),3,covariance,4,4,4.9930555555555545
LOO classifier 1 (database sample 1 left out),3,covariance,4,5,3.8385416666666674
LOO classifier 1 (database sample 1 left out),3,covariance,4,6,0.2877083333333333
LOO classifier 1 (database sample 1 left out),3,covariance,5,1,-0.47575520833333407
LOO classifier 1 (database sample 1 left out),3,covariance,5,2,-2.029921875
LOO classifier 1 (database sample 1 left out),3,covariance,5,3,0.41611979166666674
LOO classifier 1 (database sample 1 left out),3,covariance,5,4,3.8385416666666674
LOO classifier 1 (database sample 1 left out),3,covariance,5,5,116.13151041666667
LOO classifier 1 (database sample 1 left out),3,covariance,5,6,-0.15085937499999993
LOO classifier 1 (database sample 1 left out),3,covariance,6,1,0.03898802083333332
LOO classifier 1 (database sample 1 left out),3,covariance,6,2,-0.0611140625
LOO classifier 1 (database sample 1 left out),3,covariance,6,3,0.030369270833333347
LOO classifier 1 (database sample 1 left out),3,covariance,6,4,0.2877083333333333
LOO classifier 1 (database sample 1 left out),3,covariance,6,5,-0.15085937499999993
LOO classifier 1 (database sample 1 left out),3,covariance,6,6,0.12477343749999997
