testing_sample_number,actual_class,predicted_class,feature_1,feature_2,g_actual,g_predicted
729,2,1,1.851735837919498,0.9066214041045764,-4.559274370711275,-4.313604875322668
741,2,1,1.2314278285377163,-0.008426664240514204,-5.0517277166726515,-3.5780816090059893
752,2,1,1.8440901866063077,0.42084693767416526,-4.3815483306389815,-4.118341656608668
758,2,1,1.9300181020226237,-0.6270528456153869,-4.287962162214595,-4.183226886282648
769,2,1,1.7574305240239299,-2.1193133692243595,-5.386060674011263,-4.923524817556645
793,2,1,0.9657951198967765,0.6198262320010435,-5.571751460835426,-3.5624385252853865
796,2,1,1.6839356078888104,-0.3201696383989594,-4.494776394704398,-3.9110893554323205
808,2,1,1.6514532425256707,-2.360242895645096,-5.750712919125874,-5.082620836819077
809,2,1,0.9019179495092828,-1.980722308674387,-6.341703204315399,-4.252244392112964
831,2,1,1.5439845063906108,0.8566032131627324,-4.885836918047459,-4.0243600835208975
832,2,1,0.43441772494402464,-0.5975592598384396,-6.334145172568558,-3.317331729198292
834,2,1,1.5208286503248547,-2.001849040561962,-5.537498292245102,-4.625714953676291
838,2,1,1.5058139301261955,2.1844338995977974,-6.008430433293709,-5.055569117933549
855,2,1,1.3492740285147833,4.260950226734383,-9.637039496371372,-8.309961459600379
858,2,1,0.5393821947150421,2.3223232740761026,-7.63112375021951,-4.704963247827746
862,2,1,1.2355837766716031,0.22716702209300574,-5.074950596195909,-3.6067008752337832
868,2,1,1.85547071574719,0.2726397033399342,-4.335937230640252,-4.094350340665653
870,2,1,0.9589282684632461,-1.1111027887728175,-5.662210088451836,-3.671509890947878
882,2,1,1.822178704366089,1.3544631875526318,-4.865152000850842,-4.560757713833958
897,2,1,1.5028667714097352,0.015812374474771126,-4.702878696159175,-3.7635215588726223
939,2,1,0.4473144239517093,0.5044185527574988,-6.37957176563717,-3.347773674810384
964,2,1,1.9698987732474684,0.31191502486224904,-4.226967297681217,-4.212847902167769
970,2,1,1.4204103268270258,-0.4577834978421692,-4.825964976537476,-3.725971756787031
1000,2,1,0.35888485676453774,0.9250261715684229,-6.721774948938673,-3.4971085514446045
