scenario,sample_index,true_class,x1,x2,bme_prediction,bmr_prediction
"mu2_[1.5,1.5]",30,1,0.5934377346143989,1.1463519310056083,1,1
"mu2_[1.5,1.5]",31,1,0.8647854053348301,1.08545282219466,1,1
"mu2_[1.5,1.5]",32,1,0.9955249154855377,1.126124832788216,1,1
"mu2_[1.5,1.5]",33,1,1.4219009029688576,0.5655232068198236,1,1
"mu2_[1.5,1.5]",34,1,0.6726716292465493,0.607022673172581,1,1
"mu2_[1.5,1.5]",35,1,0.09622777955407436,0.5377103729310401,1,1
"mu2_[1.5,1.5]",36,1,0.9653630551083938,0.8582156647687007,1,1
"mu2_[1.5,1.5]",37,1,0.3061105421959167,1.201633853698133,1,1
"mu2_[1.5,1.5]",38,1,1.3514497438195723,0.9690565975906064,1,2
"mu2_[1.5,1.5]",39,1,0.29950481680105756,1.4439299477056868,1,1
"mu2_[1.5,1.5]",40,1,0.3901760336455323,1.0856748477354585,1,1
"mu2_[1.5,1.5]",41,1,0.7639220907151495,0.7843419001850751,1,1
"mu2_[1.5,1.5]",42,1,0.463318845745163,0.7403569873213585,1,1
"mu2_[1.5,1.5]",43,1,0.6639729831449921,0.9947125348507541,1,1
"mu2_[1.5,1.5]",44,1,1.2170870698492224,1.0121648476260534,1,2
"mu2_[1.5,1.5]",45,1,1.691407500752157,0.6135611459986314,1,2
"mu2_[1.5,1.5]",46,1,0.9343491535859259,1.0053599498933385,1,1
"mu2_[1.5,1.5]",47,1,0.946238038338402,1.1607501993021032,1,1
"mu2_[1.5,1.5]",48,1,1.6269251581235364,1.142856816063425,2,2
"mu2_[1.5,1.5]",49,1,1.1254461304514456,0.5559621257351458,1,1
"mu2_[1.5,1.5]",50,1,1.772944462849547,1.0262089983697813,2,2
"mu2_[1.5,1.5]",51,1,0.29755127061762565,1.0645130436524732,1,1
"mu2_[1.5,1.5]",52,1,0.446602741103615,0.21513776502089765,1,1
"mu2_[1.5,1.5]",53,1,2.2724070071947304,1.0695409533865265,2,2
"mu2_[1.5,1.5]",54,1,0.8153217106290909,1.0700575402217865,1,1
"mu2_[1.5,1.5]",55,1,1.0736413150281716,0.36734022949789535,1,1
"mu2_[1.5,1.5]",56,1,0.6946006465801454,0.758448744918235,1,1
"mu2_[1.5,1.5]",57,1,1.097529287865793,1.3212137875699261,1,2
"mu2_[1.5,1.5]",58,1,1.1330238762712472,1.7366267262849444,2,2
"mu2_[1.5,1.5]",59,1,0.24979156312809947,0.5594744111739987,1,1
"mu2_[1.5,1.5]",60,1,0.721209943218608,1.0103391560378265,1,1
"mu2_[1.5,1.5]",61,1,1.268275957897317,0.6460990453603073,1,1
"mu2_[1.5,1.5]",62,1,1.2077885319000772,-0.08013767959473705,1,1
"mu2_[1.5,1.5]",63,1,1.0865437258299564,1.0430076089162759,1,1
"mu2_[1.5,1.5]",64,1,0.6712955649765489,0.919711990897473,1,1
"mu2_[1.5,1.5]",65,1,1.0451194946174966,1.7832114728634862,2,2
"mu2_[1.5,1.5]",66,1,1.0771851656966027,1.3810761889440677,1,2
"mu2_[1.5,1.5]",67,1,0.6451264217928261,0.8339643051321887,1,1
"mu2_[1.5,1.5]",68,1,0.858799527486173,0.3686169687237085,1,1
"mu2_[1.5,1.5]",69,1,1.408924898901421,0.6810209026092408,1,1
"mu2_[1.5,1.5]",70,1,1.202895129033262,1.3186988888638975,2,2
"mu2_[1.5,1.5]",71,1,1.1729494685324848,0.27902167870462635,1,1
"mu2_[1.5,1.5]",72,1,1.985264074873713,0.8748474019030612,2,2
"mu2_[1.5,1.5]",73,1,1.5606736378967343,1.1568581447713642,2,2
"mu2_[1.5,1.5]",74,1,1.7486962395528436,1.5825886500278123,2,2
"mu2_[1.5,1.5]",75,1,-0.07704070800946461,0.9848059401280213,1,1
"mu2_[1.5,1.5]",76,1,1.105425541237924,1.2836439747749098,1,2
"mu2_[1.5,1.5]",77,1,1.1555211836256447,1.245206074191934,1,2
"mu2_[1.5,1.5]",78,1,1.2224718079743881,0.624012580263793,1,1
"mu2_[1.5,1.5]",79,1,1.5015392273629866,1.3642548702693962,2,2
"mu2_[1.5,1.5]",80,1,1.073633184308927,1.450889672965723,2,2
"mu2_[1.5,1.5]",81,1,0.4133893763716715,1.4019534733851322,1,1
"mu2_[1.5,1.5]",82,1,1.173850211696308,0.8525036346243124,1,1
"mu2_[1.5,1.5]",83,1,0.9222517702468017,0.43304288079417275,1,1
"mu2_[1.5,1.5]",84,1,0.9002913945664047,0.424751894323112,1,1
"mu2_[1.5,1.5]",85,1,1.2759931682487162,0.7594503165805153,1,1
"mu2_[1.5,1.5]",86,1,-0.04951712469927383,1.3929497737588865,1,1
"mu2_[1.5,1.5]",87,1,0.759853924309037,1.9093471825180406,2,2
"mu2_[1.5,1.5]",88,1,0.8850384992149288,1.7220073943270724,2,2
"mu2_[1.5,1.5]",89,1,1.334135095572631,1.4813737198455705,2,2
"mu2_[1.5,1.5]",90,1,1.270791731687334,1.4687429073183607,2,2
"mu2_[1.5,1.5]",91,1,0.45068786614444534,1.0511147058140222,1,1
"mu2_[1.5,1.5]",92,1,1.1201970288303436,1.352218133829464,1,2
"mu2_[1.5,1.5]",93,1,1.0951489997471264,1.4323228885854178,2,2
"mu2_[1.5,1.5]",94,1,1.4861705708654913,0.9565071078760322,1,2
"mu2_[1.5,1.5]",95,1,2.2409116850866395,0.8861716882087312,2,2
"mu2_[1.5,1.5]",96,1,0.5785562615940427,1.4877867725441534,1,1
"mu2_[1.5,1.5]",97,1,0.9118638123788779,1.6210018899944063,2,2
"mu2_[1.5,1.5]",98,1,1.4088650881421783,1.511520910285883,2,2
"mu2_[1.5,1.5]",99,1,1.0980887973741258,1.6958433014973975,2,2
"mu2_[1.5,1.5]",100,1,1.530462728084216,0.7247739067094758,1,2
"mu2_[1.5,1.5]",101,2,0.97159590257667,1.361980222234553,1,2
"mu2_[1.5,1.5]",102,2,1.7464623242129667,1.9253574652890062,2,2
"mu2_[1.5,1.5]",103,2,1.3438508493336372,1.567858654128865,2,2
"mu2_[1.5,1.5]",104,2,0.853414949004907,1.8358053357523945,2,2
"mu2_[1.5,1.5]",105,2,1.2190585337090425,1.9379510622734297,2,2
"mu2_[1.5,1.5]",106,2,1.5483478018466756,1.8229776850153354,2,2
"mu2_[1.5,1.5]",107,2,1.4693261963865636,1.0645061829980835,2,2
"mu2_[1.5,1.5]",108,2,1.570602109393113,1.8943061746226775,2,2
"mu2_[1.5,1.5]",109,2,1.3857643730615528,1.6135960910460814,2,2
"mu2_[1.5,1.5]",110,2,0.7596717195489143,1.324707873816061,1,1
"mu2_[1.5,1.5]",111,2,1.173199571617106,1.619787744869735,2,2
"mu2_[1.5,1.5]",112,2,1.8866592948898255,1.0257733017335806,2,2
"mu2_[1.5,1.5]",113,2,1.3845698668647686,1.7548516380732222,2,2
"mu2_[1.5,1.5]",114,2,0.6985322340317629,1.556049069558327,1,2
"mu2_[1.5,1.5]",115,2,1.6617254060638966,1.8526821446474022,2,2
"mu2_[1.5,1.5]",116,2,1.2913523673458642,1.0609073875090567,1,2
"mu2_[1.5,1.5]",117,2,1.3018306939021507,1.9507049253317261,2,2
"mu2_[1.5,1.5]",118,2,1.1463887994451947,1.6066491968715795,2,2
"mu2_[1.5,1.5]",119,2,0.7752689244885161,0.7112286448521942,1,1
"mu2_[1.5,1.5]",120,2,1.249494923334259,1.92135366479331,2,2
"mu2_[1.5,1.5]",121,2,1.625492213342739,2.294393513387744,2,2
"mu2_[1.5,1.5]",122,2,1.3184291187533594,1.145772018279755,1,2
"mu2_[1.5,1.5]",123,2,1.404937323290903,1.6774147204354997,2,2
"mu2_[1.5,1.5]",124,2,1.9870604981515245,0.8119200717931041,2,2
"mu2_[1.5,1.5]",125,2,2.1928358595756787,1.338193331331651,2,2
"mu2_[1.5,1.5]",126,2,0.9389282183578465,1.6758056139677218,2,2
"mu2_[1.5,1.5]",127,2,0.8017957619051311,1.6363000211745267,1,2
"mu2_[1.5,1.5]",128,2,1.573423562628295,1.3008306903420688,2,2
"mu2_[1.5,1.5]",129,2,0.8311491727892537,1.5143438289608444,1,2
"mu2_[1.5,1.5]",130,2,1.6360896878840236,1.4852452665776636,2,2
"mu2_[1.5,1.5]",131,2,1.1874308798828086,1.6874195321782037,2,2
"mu2_[1.5,1.5]",132,2,1.6174064512108541,1.4983088750242988,2,2
"mu2_[1.5,1.5]",133,2,1.7412104631137044,1.696835492814475,2,2
"mu2_[1.5,1.5]",134,2,2.2113735633465135,1.524354827651539,2,2
"mu2_[1.5,1.5]",135,2,1.3890609157922842,1.518649280796269,2,2
"mu2_[1.5,1.5]",136,2,2.4582063204595235,0.9881040170958779,2,2
"mu2_[1.5,1.5]",137,2,1.0001362072466664,1.701615369754414,2,2
"mu2_[1.5,1.5]",138,2,1.4788460064699385,1.2806458672582635,2,2
"mu2_[1.5,1.5]",139,2,1.4684873211088272,1.380661554411487,2,2
"mu2_[1.5,1.5]",140,2,1.5576266758216577,1.8736123426959317,2,2
"mu2_[1.5,1.5]",141,2,1.1737989818569616,1.5550280791703817,2,2
"mu2_[1.5,1.5]",142,2,1.7056970885194178,1.3959140220802246,2,2
"mu2_[1.5,1.5]",143,2,0.9109338219579914,1.5273734124202536,1,2
"mu2_[1.5,1.5]",144,2,2.4237997348141618,1.0042931629721579,2,2
"mu2_[1.5,1.5]",145,2,1.6263610525745853,1.7012588114592735,2,2
"mu2_[1.5,1.5]",146,2,1.8235983822550463,2.036907399839988,2,2
"mu2_[1.5,1.5]",147,2,0.6538314758201528,1.0310168918846554,1,1
"mu2_[1.5,1.5]",148,2,1.8119771856466302,1.8950151349320494,2,2
"mu2_[1.5,1.5]",149,2,1.2954590091148992,2.1186985072069184,2,2
"mu2_[1.5,1.5]",150,2,1.2006654316600118,1.7190156686458415,2,2
"mu2_[1.5,1.5]",151,2,1.443993431204881,2.134170473771773,2,2
"mu2_[1.5,1.5]",152,2,1.954885713972359,1.4229996210013927,2,2
"mu2_[1.5,1.5]",153,2,1.6097708944622484,1.2868895900566621,2,2
"mu2_[1.5,1.5]",154,2,1.5082955780856284,1.2591753735708797,2,2
"mu2_[1.5,1.5]",155,2,1.649454370250295,2.0710860985055466,2,2
"mu2_[1.5,1.5]",156,2,0.986268746320102,1.2193740835533065,1,1
"mu2_[1.5,1.5]",157,2,1.6201051667797661,2.3010896839499795,2,2
"mu2_[1.5,1.5]",158,2,1.3380394247716858,1.0963842712227831,1,2
"mu2_[1.5,1.5]",159,2,1.6645622290640563,1.6188912707176966,2,2
"mu2_[1.5,1.5]",160,2,2.645203742192032,2.0700544487644397,2,2
"mu2_[1.5,1.5]",161,2,0.9073565252190634,1.41927791761432,1,2
"mu2_[1.5,1.5]",162,2,1.4127394941094917,1.815061913140978,2,2
"mu2_[1.5,1.5]",163,2,1.6208938972639473,1.7558454911416947,2,2
"mu2_[1.5,1.5]",164,2,1.4848485286839326,1.6316879490552227,2,2
"mu2_[1.5,1.5]",165,2,0.9659685861948752,1.3755026400290133,1,2
"mu2_[1.5,1.5]",166,2,1.7163842813772952,0.9567959579320596,2,2
"mu2_[1.5,1.5]",167,2,1.894821929234984,1.4661165612601388,2,2
"mu2_[1.5,1.5]",168,2,1.837528444887504,1.1456497886453076,2,2
"mu2_[1.5,1.5]",169,2,0.7024145115362054,1.3109156572699847,1,1
"mu2_[1.5,1.5]",170,2,1.7010863721124607,1.6638877744323408,2,2
"mu2_[1.5,1.5]",171,2,1.2581588021932355,1.3346026651183247,2,2
"mu2_[1.5,1.5]",172,2,1.2935922849280592,1.4898190374588187,2,2
"mu2_[1.5,1.5]",173,2,1.203167358684094,1.3208974869207348,2,2
"mu2_[1.5,1.5]",174,2,0.957778742293,1.2995080424854957,1,2
"mu2_[1.5,1.5]",175,2,1.0178708144728021,0.9428594723388919,1,1
"mu2_[1.5,1.5]",176,2,1.6102669337656073,1.791094905899267,2,2
"mu2_[1.5,1.5]",177,2,1.7788625075463826,1.8573493930678648,2,2
"mu2_[1.5,1.5]",178,2,1.9733943047846467,1.9645840774537193,2,2
"mu2_[1.5,1.5]",179,2,0.7299123515950288,1.038685774690875,1,1
"mu2_[1.5,1.5]",180,2,2.6121614718801394,1.980249308536271,2,2
"mu2_[1.5,1.5]",181,2,2.117052172916977,1.4610393021509047,2,2
"mu2_[1.5,1.5]",182,2,1.33037085591176,1.6000622581295219,2,2
"mu2_[1.5,1.5]",183,2,0.8034134406926138,1.287040745091727,1,1
"mu2_[1.5,1.5]",184,2,1.424342074015428,1.2735185058305134,2,2
"mu2_[1.5,1.5]",185,2,0.9858241217295622,1.2031183621608792,1,1
"mu2_[1.5,1.5]",186,2,0.9346201730123185,1.0640984645425664,1,1
"mu2_[1.5,1.5]",187,2,1.1527688530158633,1.7519387711692531,2,2
"mu2_[1.5,1.5]",188,2,0.6145590426618497,1.7814546499232464,1,2
"mu2_[1.5,1.5]",189,2,1.628491637417194,2.075166734082008,2,2
"mu2_[1.5,1.5]",190,2,1.2813431301261697,1.978622962199459,2,2
"mu2_[1.5,1.5]",191,2,0.9666909724094604,2.035650593327024,2,2
"mu2_[1.5,1.5]",192,2,1.0033928841334478,0.9071888986277604,1,1
"mu2_[1.5,1.5]",193,2,1.5471736448569815,1.8744095893719903,2,2
"mu2_[1.5,1.5]",194,2,0.7779762577999513,1.7137452478694402,1,2
"mu2_[1.5,1.5]",195,2,2.2435243949828907,1.4813754806632524,2,2
"mu2_[1.5,1.5]",196,2,0.8490633448114586,1.9439733655475242,2,2
"mu2_[1.5,1.5]",197,2,1.5911774026012018,2.397620494879517,2,2
"mu2_[1.5,1.5]",198,2,1.3592497841220526,2.209341622179486,2,2
"mu2_[1.5,1.5]",199,2,2.028937610075457,1.9451575117617286,2,2
"mu2_[1.5,1.5]",200,2,1.339817100564391,0.9578198649866626,1,2
"mu2_[3.0,3.0]",1,1,0.7422893753441524,1.1899232042612127,1,1
"mu2_[3.0,3.0]",2,1,1.3556452280652624,0.4899383706530974,1,1
"mu2_[3.0,3.0]",3,1,0.31599678891100125,1.2889461959124588,1,1
"mu2_[3.0,3.0]",4,1,1.2490493105371978,1.456545648668584,1,1
"mu2_[3.0,3.0]",5,1,0.5473521876881975,0.9612459312850632,1,1
"mu2_[3.0,3.0]",6,1,0.7562687869403808,0.32598242465576777,1,1
"mu2_[3.0,3.0]",7,1,0.874717954629311,1.3053918202542711,1,1
"mu2_[3.0,3.0]",8,1,1.22777683958849,1.3010034423113508,1,1
"mu2_[3.0,3.0]",9,1,1.4288624861219437,1.7213517128158975,1,1
"mu2_[3.0,3.0]",10,1,0.630729279467709,1.4770217731700936,1,1
"mu2_[3.0,3.0]",11,1,1.0529114587679624,1.461362918274478,1,1
"mu2_[3.0,3.0]",12,1,0.9225036586145199,1.0907640057350205,1,1
"mu2_[3.0,3.0]",13,1,1.2132231547274017,0.7822000922381457,1,1
"mu2_[3.0,3.0]",14,1,0.7044641116674164,1.4100224036493851,1,1
"mu2_[3.0,3.0]",15,1,0.9742923464801436,0.8975722400439865,1,1
"mu2_[3.0,3.0]",16,1,0.811800905445823,0.942323595463475,1,1
"mu2_[3.0,3.0]",17,1,0.9559264210169609,0.6602621143045055,1,1
"mu2_[3.0,3.0]",18,1,1.5324416862568697,1.201946950123778,1,1
"mu2_[3.0,3.0]",19,1,1.3952916699137943,0.6968293746558001,1,1
"mu2_[3.0,3.0]",20,1,0.42554653322209335,1.2484847281604945,1,1
"mu2_[3.0,3.0]",21,1,1.203858084261073,1.03878904302396,1,1
"mu2_[3.0,3.0]",22,1,1.2861933310472926,1.0366320264411009,1,1
"mu2_[3.0,3.0]",23,1,1.3060604298263672,1.9066006512106157,1,1
"mu2_[3.0,3.0]",24,1,0.052785603812508075,0.7611470836352455,1,1
"mu2_[3.0,3.0]",25,1,0.907427073888046,0.9193046745507683,1,1
"mu2_[3.0,3.0]",26,1,0.8259446385916938,0.6108404584546554,1,1
"mu2_[3.0,3.0]",27,1,0.5466415521451109,0.3300285555133389,1,1
"mu2_[3.0,3.0]",28,1,0.8052884388164628,1.3405131112706854,1,1
"mu2_[3.0,3.0]",29,1,0.6842812743780817,1.3043932969157126,1,1
"mu2_[3.0,3.0]",30,1,1.399015234305766,0.7483625250792667,1,1
"mu2_[3.0,3.0]",31,1,0.8668556369857053,1.3463847811141496,1,1
"mu2_[3.0,3.0]",32,1,0.4807674575409462,0.6597071639714422,1,1
"mu2_[3.0,3.0]",33,1,0.8827782480189911,-0.08865440374489908,1,1
"mu2_[3.0,3.0]",34,1,1.4083309666699946,0.6589453582288585,1,1
"mu2_[3.0,3.0]",35,1,1.108185412276611,1.220926741612183,1,1
"mu2_[3.0,3.0]",36,1,0.9521750194795989,1.037629846343115,1,1
"mu2_[3.0,3.0]",37,1,0.8102458059651318,0.8983577829429072,1,1
"mu2_[3.0,3.0]",38,1,0.6636402830040224,0.6930911936480759,1,1
"mu2_[3.0,3.0]",39,1,1.2593371676498837,1.268171652168204,1,1
"mu2_[3.0,3.0]",40,1,0.16321274570033595,1.2658838079782877,1,1
"mu2_[3.0,3.0]",41,1,0.12555138306265157,1.0543038743024926,1,1
"mu2_[3.0,3.0]",42,1,1.2727033799899776,1.2696085210304386,1,1
"mu2_[3.0,3.0]",43,1,1.3390296635774086,1.4547920089322952,1,1
"mu2_[3.0,3.0]",44,1,1.0741109550461165,0.929373448868325,1,1
"mu2_[3.0,3.0]",45,1,1.183243210552388,1.6102303810135647,1,1
"mu2_[3.0,3.0]",46,1,0.7642873002915712,1.3333514716397474,1,1
"mu2_[3.0,3.0]",47,1,1.4141544558318675,2.088441869034474,1,1
"mu2_[3.0,3.0]",48,1,1.3451407590628943,0.6564919305599006,1,1
"mu2_[3.0,3.0]",49,1,0.2835233158455961,0.44142357247930064,1,1
"mu2_[3.0,3.0]",50,1,0.7049118644847487,1.2797735160285688,1,1
"mu2_[3.0,3.0]",51,1,0.5291816768184696,0.8383595564402325,1,1
"mu2_[3.0,3.0]",52,1,1.1525089770776096,-0.17076819621494654,1,1
"mu2_[3.0,3.0]",53,1,0.8454186752044722,1.4939334217823592,1,1
"mu2_[3.0,3.0]",54,1,1.166196946818259,1.4806951145457947,1,1
"mu2_[3.0,3.0]",55,1,1.6685350423887497,0.6167406657551577,1,1
"mu2_[3.0,3.0]",56,1,1.0368751908213418,0.8989027120813957,1,1
"mu2_[3.0,3.0]",57,1,1.146289899602393,0.5943532918427032,1,1
"mu2_[3.0,3.0]",58,1,1.9429416285155163,1.5605644183806855,1,1
"mu2_[3.0,3.0]",59,1,1.6601206531209307,1.153531990569944,1,1
"mu2_[3.0,3.0]",60,1,1.405032301323744,0.7858629813965513,1,1
"mu2_[3.0,3.0]",61,1,1.8635413004394716,0.7452924660738434,1,1
"mu2_[3.0,3.0]",62,1,0.47170734416790694,0.2769688085892006,1,1
"mu2_[3.0,3.0]",63,1,1.187082784072357,0.6604851745630496,1,1
"mu2_[3.0,3.0]",64,1,0.7275532324339216,0.05887452852736785,1,1
"mu2_[3.0,3.0]",65,1,0.9861401937116895,0.7879481687494946,1,1
"mu2_[3.0,3.0]",66,1,0.9216894180162765,0.7594546242901075,1,1
"mu2_[3.0,3.0]",67,1,1.0740120126464074,0.3570212193535538,1,1
"mu2_[3.0,3.0]",68,1,1.4551012604259375,0.5696145503627941,1,1
"mu2_[3.0,3.0]",69,1,1.328823693183943,0.6057418144698573,1,1
"mu2_[3.0,3.0]",70,1,0.7490676836850862,0.5482599879740906,1,1
"mu2_[3.0,3.0]",71,1,1.0822331067321092,1.159783784889562,1,1
"mu2_[3.0,3.0]",72,1,1.2795216831024143,0.028216163865020794,1,1
"mu2_[3.0,3.0]",73,1,0.686706647155452,0.1605792496649644,1,1
"mu2_[3.0,3.0]",74,1,0.8436422304127479,1.2994925955867465,1,1
"mu2_[3.0,3.0]",75,1,0.39370576967409576,0.37172636978459994,1,1
"mu2_[3.0,3.0]",76,1,1.4406252169017897,0.6340058947494203,1,1
"mu2_[3.0,3.0]",77,1,1.0222114962771596,2.0016218767533513,1,1
"mu2_[3.0,3.0]",78,1,1.5138434389789492,0.8609172092031975,1,1
"mu2_[3.0,3.0]",79,1,1.5863117025846987,1.8095716666197794,1,1
"mu2_[3.0,3.0]",80,1,0.9732796478861244,1.0539771386754366,1,1
"mu2_[3.0,3.0]",81,1,0.7186407938361452,1.5874523674870673,1,1
"mu2_[3.0,3.0]",82,1,1.0020063282127145,0.6649627634484453,1,1
"mu2_[3.0,3.0]",83,1,0.5712370307793146,1.3007590825460207,1,1
"mu2_[3.0,3.0]",84,1,0.9092758349408429,1.0680270281063582,1,1
"mu2_[3.0,3.0]",85,1,0.5783307646144674,1.134226658094165,1,1
"mu2_[3.0,3.0]",86,1,0.37880393463300943,0.6917811867408983,1,1
"mu2_[3.0,3.0]",87,1,1.1495526160977254,0.7775388742589671,1,1
"mu2_[3.0,3.0]",88,1,1.009055885473618,0.677418964232526,1,1
"mu2_[3.0,3.0]",89,1,0.0939044491402834,1.1124742136253685,1,1
"mu2_[3.0,3.0]",90,1,0.5232916473907765,0.7199205700391385,1,1
"mu2_[3.0,3.0]",91,1,0.972358537578308,0.8726920599546301,1,1
"mu2_[3.0,3.0]",92,1,0.3344462691858112,0.4287657261710619,1,1
"mu2_[3.0,3.0]",93,1,1.7357712254024884,0.9266244158145959,1,1
"mu2_[3.0,3.0]",94,1,0.5431781865968154,2.170405081219733,1,1
"mu2_[3.0,3.0]",95,1,0.5575118547167989,1.256630888355663,1,1
"mu2_[3.0,3.0]",96,1,1.0550895721440487,1.5476411302696056,1,1
"mu2_[3.0,3.0]",97,1,0.7526429499631732,2.0772490761455513,1,1
"mu2_[3.0,3.0]",98,1,1.4039236819807352,0.8475405135692657,1,1
"mu2_[3.0,3.0]",99,1,1.320260245088607,1.2614673283216535,1,1
"mu2_[3.0,3.0]",100,1,0.7606578789788786,0.8802783787477786,1,1
"mu2_[3.0,3.0]",101,2,2.913619384673029,3.428893650452165,2,2
"mu2_[3.0,3.0]",102,2,2.9924539427511787,2.9695966843986477,2,2
"mu2_[3.0,3.0]",103,2,3.2201154192522616,2.4999353602495504,2,2
"mu2_[3.0,3.0]",104,2,2.5258663328629187,2.7452375525877453,2,2
"mu2_[3.0,3.0]",105,2,2.6995424216215858,3.3644944620199224,2,2
"mu2_[3.0,3.0]",106,2,3.410578271250155,3.3067780449645356,2,2
"mu2_[3.0,3.0]",107,2,2.7343747200162976,2.6229329594582045,2,2
"mu2_[3.0,3.0]",108,2,2.716153762200416,3.2610101475249897,2,2
"mu2_[3.0,3.0]",109,2,2.6102042498887883,3.0017621943262354,2,2
"mu2_[3.0,3.0]",110,2,3.3238954593714913,2.756001566295508,2,2
"mu2_[3.0,3.0]",111,2,2.147743429618114,3.308236113225704,2,2
"mu2_[3.0,3.0]",112,2,3.1524235902354114,2.8004865403621046,2,2
"mu2_[3.0,3.0]",113,2,2.837459040113766,3.375891422428483,2,2
"mu2_[3.0,3.0]",114,2,2.816071137607314,2.9150709903860097,2,2
"mu2_[3.0,3.0]",115,2,2.4976953141323417,3.8447548443097284,2,2
"mu2_[3.0,3.0]",116,2,2.971185783316864,3.2864508861603707,2,2
"mu2_[3.0,3.0]",117,2,2.7255414984636728,3.0517489691878206,2,2
"mu2_[3.0,3.0]",118,2,2.6004421633950647,3.406316760983336,2,2
"mu2_[3.0,3.0]",119,2,3.3879848533619232,1.9485847471476447,2,2
"mu2_[3.0,3.0]",120,2,2.7655007402354235,2.779122061192083,2,2
"mu2_[3.0,3.0]",121,2,2.747323556782787,2.3465526586692556,2,2
"mu2_[3.0,3.0]",122,2,3.4489698582388755,2.3064863100470463,2,2
"mu2_[3.0,3.0]",123,2,3.6822565726780363,3.598604240402466,2,2
"mu2_[3.0,3.0]",124,2,2.8300673513405483,2.7600152746930813,2,2
"mu2_[3.0,3.0]",125,2,3.370663039387087,3.256921154354574,2,2
"mu2_[3.0,3.0]",126,2,2.430489053252497,2.7306404456408115,2,2
"mu2_[3.0,3.0]",127,2,2.4122335713231777,3.6914230799383403,2,2
"mu2_[3.0,3.0]",128,2,2.603823029538293,2.424128856699062,2,2
"mu2_[3.0,3.0]",129,2,3.13518342562109,3.348489623032766,2,2
"mu2_[3.0,3.0]",130,2,3.320127612595817,3.087268450761834,2,2
"mu2_[3.0,3.0]",131,2,2.3762768782010775,2.548653046915192,2,2
"mu2_[3.0,3.0]",132,2,2.899753569032621,3.227880780408978,2,2
"mu2_[3.0,3.0]",133,2,3.53172505762055,2.722787336315093,2,2
"mu2_[3.0,3.0]",134,2,3.07202999283238,3.3220936978852453,2,2
"mu2_[3.0,3.0]",135,2,3.6985631002283976,3.231203657156846,2,2
"mu2_[3.0,3.0]",136,2,2.225991824925435,3.0240373968325054,2,2
"mu2_[3.0,3.0]",137,2,3.3005342618661575,2.9981876242783185,2,2
"mu2_[3.0,3.0]",138,2,3.024185111228682,3.5468500408497583,2,2
"mu2_[3.0,3.0]",139,2,2.5553736462554224,3.0495459945985055,2,2
"mu2_[3.0,3.0]",140,2,3.061639477254951,3.037182794701456,2,2
"mu2_[3.0,3.0]",141,2,2.6046082757600972,3.5358799459849655,2,2
"mu2_[3.0,3.0]",142,2,2.4116958363341783,3.2047679803985663,2,2
"mu2_[3.0,3.0]",143,2,2.8575318765645563,2.907742098985283,2,2
